REGION,PROVINCIA,COMUNA,DISTRITO,COD_DISTRI,COD_LOCALI,COD_ENTIDA,CATEGORIA,PERSONAS,HOMBRES,MUJERES,DE_0_A_5_A,DE_6_A_14_,DE_15_A_64,DE_65_MAS_,INMIGRANTE,PUEBLOS_OR,VIVIENDAS_,VIVIENDAS1,VIV_OCUPAD,TOTAL_VIVI,TOT_HOGARE,CASA,DEPTO,VIV_INDIGE,CONVENTILL,MEDIAGUA,MOVIL,OTRA_VIV_P,VIV_HORMIG,VIV_ALBANI,VIV_TABIQU,VIV_TABI_1,VIV_ADOBE,VIV_PARED_,VIV_TEJAS_,VIV_LOSA_H,VIV_PLANCH,VIV_FONOLI,VIV_PAJA,VIV_TECHO_,VIV_SIN_TE,VIV_PARQUE,VIV_RADIER,VIV_BALDOS,VIV_CAPA_C,VIV_PISO_T,IND_MAT_AC,IND_MAT_RE,IND_MAT_IR,VIV_AGUA_R,VIV_AGUA_P,VIV_AGUA_C,VIV_AGUA_1,x,y
REGIÓN DE VALPARAÍSO,VALPARAÍSO,VALPARAÍSO,PLACILLA,21,5,6,1,156,69,87,12,20,104,20,Indeterminado,6,55,0,54,55,54,55,0,0,0,0,0,0,4,49,1,0,0,0,3,0,51,0,0,0,0,52,0,2,0,0,52,2,0,54,0,0,0,,
REGIÓN DE VALPARAÍSO,VALPARAÍSO,VALPARAÍSO,PLACILLA,21,8,65,1,65,25,40,Indeterminado,Indeterminado,46,11,0,4,22,0,21,22,21,19,0,0,0,1,0,2,0,2,19,0,0,0,0,0,21,0,0,0,0,21,0,0,0,0,21,0,0,21,0,0,0,,
REGIÓN DE VALPARAÍSO,VALPARAÍSO,VALPARAÍSO,PLACILLA,21,5,5,1,72,35,37,4,13,48,7,0,5,25,0,25,25,27,25,0,0,0,0,0,0,1,23,0,0,0,0,2,0,21,1,0,0,0,23,0,1,0,0,22,2,0,24,0,0,0,,
REGIÓN DE VALPARAÍSO,VALPARAÍSO,VALPARAÍSO,PLACILLA,21,3,29,1,18,10,8,Indeterminado,6,8,Indeterminado,0,Indeterminado,5,0,5,5,5,5,0,0,0,0,0,0,0,4,1,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,5,0,0,5,0,0,0,,
REGIÓN DE VALPARAÍSO,VALPARAÍSO,VALPARAÍSO,PLACILLA,21,8,64,1,49,22,27,Indeterminado,Indeterminado,31,13,0,Indeterminado,19,0,17,19,17,19,0,0,0,0,0,0,1,1,12,0,3,0,1,0,16,0,0,0,0,17,0,0,0,0,14,3,0,17,0,0,0,,
REGIÓN DE VALPARAÍSO,VALPARAÍSO,VALPARAÍSO,PLACILLA,21,8,63,1,82,44,38,4,11,50,17,Indeterminado,10,28,0,28,28,28,28,0,0,0,0,0,0,1,2,24,0,0,0,0,0,27,0,0,0,0,25,1,0,1,0,25,2,0,26,0,0,0,,
REGIÓN DE VALPARAÍSO,VALPARAÍSO,VALPARAÍSO,PLACILLA,21,6,29,1,141,68,73,11,16,100,14,0,15,52,0,50,52,50,52,0,0,0,0,0,0,13,34,1,0,0,0,4,1,42,0,0,0,0,46,0,0,0,0,46,0,0,48,0,0,0,,
REGIÓN DE VALPARAÍSO,VALPARAÍSO,VALPARAÍSO,PLACILLA,21,6,30,1,163,76,87,21,24,107,11,Indeterminado,9,50,0,47,50,47,50,0,0,0,0,0,0,1,46,0,0,0,0,13,0,34,0,0,0,0,42,0,5,0,0,42,5,0,47,0,0,0,,
REGIÓN DE VALPARAÍSO,VALPARAÍSO,VALPARAÍSO,PLACILLA,21,6,25,1,38,21,17,Indeterminado,9,24,Indeterminado,0,0,15,0,15,15,15,15,0,0,0,0,0,0,0,15,0,0,0,0,14,0,1,0,0,0,0,15,0,0,0,0,15,0,0,15,0,0,0,,
REGIÓN DE VALPARAÍSO,VALPARAÍSO,VALPARAÍSO,PLACILLA,21,3,23,1,129,70,59,11,12,94,12,9,4,42,0,36,42,36,42,0,0,0,0,0,0,1,5,24,4,0,2,2,0,34,0,0,0,0,34,0,1,0,0,28,5,2,36,0,0,0,,
REGIÓN DE VALPARAÍSO,VALPARAÍSO,VALPARAÍSO,PLACILLA,21,6,31,1,137,56,81,12,14,93,18,0,10,50,0,48,50,48,50,0,0,0,0,0,0,3,45,0,0,0,0,6,1,41,0,0,0,0,48,0,0,0,0,48,0,0,48,0,0,0,,
REGIÓN DE VALPARAÍSO,VALPARAÍSO,VALPARAÍSO,PLACILLA,21,6,32,1,123,53,70,11,13,89,10,0,4,47,0,43,47,43,47,0,0,0,0,0,0,1,41,1,0,0,0,9,0,32,1,0,1,0,41,0,1,1,0,39,3,1,43,0,0,0,,
REGIÓN DE VALPARAÍSO,VALPARAÍSO,VALPARAÍSO,PLACILLA,21,6,33,1,123,65,58,16,12,87,8,0,4,40,0,37,40,37,40,0,0,0,0,0,0,1,35,1,0,0,0,1,0,36,0,0,0,0,29,1,6,1,0,29,8,0,37,0,0,0,,
REGIÓN DE VALPARAÍSO,VALPARAÍSO,VALPARAÍSO,PLACILLA,21,6,23,1,76,34,42,8,16,47,5,4,7,20,0,20,20,20,20,0,0,0,0,0,0,0,20,0,0,0,0,10,0,10,0,0,0,0,20,0,0,0,0,20,0,0,20,0,0,0,,
REGIÓN DE VALPARAÍSO,VALPARAÍSO,VALPARAÍSO,PLACILLA,21,6,24,1,60,25,35,12,Indeterminado,37,Indeterminado,Indeterminado,Indeterminado,18,0,16,18,16,18,0,0,0,0,0,0,0,16,0,0,0,0,0,0,16,0,0,0,0,16,0,0,0,0,16,0,0,16,0,0,0,,
REGIÓN DE VALPARAÍSO,VALPARAÍSO,VALPARAÍSO,PLACILLA,21,5,12,1,28,14,14,Indeterminado,Indeterminado,19,4,0,6,8,0,8,8,8,8,0,0,0,0,0,0,1,7,0,0,0,0,0,0,8,0,0,0,0,8,0,0,0,0,8,0,0,8,0,0,0,,
REGIÓN DE VALPARAÍSO,VALPARAÍSO,VALPARAÍSO,PLACILLA,21,4,70,1,118,72,46,9,21,80,8,6,23,33,0,33,33,34,31,0,0,2,0,0,0,1,4,24,3,0,0,3,0,29,0,0,0,0,30,0,2,0,0,27,5,0,29,2,1,0,,
